owner,repo,stars,forks,watchers,deleted,private,archived,disabled
jfcabana,qmtlab,127,51,23,False,False,False,False
jfrascon,slam_and_path_planning_algorithms,119,51,6,False,False,False,False
jfrogtraining,kubernetes_example,35,51,9,False,False,False,False
jfstepha,differential-drive,56,51,6,False,False,False,False
jgigault,42filechecker,293,51,23,False,False,False,False
jgpaiva,gridmove,318,51,29,False,False,False,False
jgraph,www.diagrams.net-source,72,51,11,False,False,False,False
jhale1805,expressive-resume,193,51,6,False,False,False,False
jharting,openshift-rabbitmq-cluster,41,51,4,False,False,False,False
jherr,chat-o-matic,102,51,3,False,False,False,False
jhu-ep-coursera,fullstack-course2-module4-i-reviewed,22,51,19,False,False,False,False
jia-research-lab,pfenet,252,51,11,False,False,False,False
jiangjuhong,fluttertencentimplugin,211,51,7,False,False,False,False
jiangli373,nodeparsevideo,168,51,13,False,False,False,False
jiawu-repository,10-cv-weka,2,51,0,False,False,False,False
jiayincao,sort,794,51,32,False,False,False,False
jieerjingfu,freenodestrojanvmessssrss,192,51,21,False,False,False,False
jieter,leaflet-semicircle,115,51,5,False,False,False,False
jilv220,bb_rpb_tsl,167,51,26,False,False,False,False
jimishf,instaunfollow,53,51,4,False,False,False,False
jimmejardine,qiqqa-open-source,324,51,32,False,False,False,False
jimweirich,rspec-given,650,51,18,False,False,False,False
jimzrt,incognito_rcm,306,51,11,False,False,False,False
jimzrt,lockpick_rcm,306,51,11,False,False,False,False
jindaxiang,aktools,238,51,7,False,False,False,False
jines-z,rn-mobx-starter,177,51,5,False,False,False,False
jingchunzhang,backdoor_rootkit,85,51,15,False,False,False,False
jingkang50,openpsg,290,51,6,False,False,False,False
jingweitoo,feature-selection-toolbox,154,51,4,False,False,False,False
jingweitoo,wrapper-feature-selection-toolbox-python,154,51,4,False,False,False,False
jirkapinkas,spring-boot-postgresql-docker-compose,53,51,3,False,False,False,False
jjgrainger,posttypes,363,51,23,False,False,False,False
jjkoletar,mineresetlite,13,51,4,False,False,False,False
jkchao,blog-service,210,51,8,False,False,False,False
jkchao,node-koa,210,51,8,False,False,False,False
jkdntc,cmpp,65,51,7,False,False,False,False
jkisoftware,jki-state-machine-objects,87,51,44,False,False,False,False
jkoritzinsky,sharpgentools,427,51,26,False,False,False,False
jkoritzinsky,sharptools,427,51,26,False,False,False,False
jkuri,opencv-ffmpeg-rtmp-stream,189,51,11,False,False,False,False
jlengstorf,lengstorf.com,220,51,8,False,False,False,False
jlervin,berry,963,51,24,False,False,False,False
jmcnamara,excel-writer-xlsx,96,51,18,False,False,False,False
jmeei,vue-formbuilder,149,51,7,False,False,False,False
jmenga,todobackend,13,51,5,False,False,False,False
joaomdmoura,challenge-gama,1,51,1,False,False,False,False
joearms,ezwebframe,183,51,26,False,False,False,False
joelgmsec,cloudtopolis,325,51,9,False,False,False,False
