owner,repo,stars,forks,watchers,deleted,private,archived,disabled
guzelahmet,microservices-example,-1,-1,-1,True,False,False,False
guzh09,guzh09.github.com,-1,-1,-1,True,False,False,False
guzik98,21688android,-1,-1,-1,True,False,False,False
guzik98,aplikacje-mobilne-21688-185ic_a1,-1,-1,-1,True,False,False,False
guziyi98,vue3-handwritten-source-code,-1,-1,-1,True,False,False,False
guzman109,ci-components-catalog,-1,-1,-1,True,False,False,False
guzman2792,p5-sketch-fonal,-1,-1,-1,True,False,False,False
guzmanbossi,cryptoanalyzer,-1,-1,-1,True,False,False,False
guzmjo,f22-javafx-fxml-lab-a,-1,-1,-1,True,False,False,False
guzmonne,upwork_take_home,-1,-1,-1,True,False,False,False
guztawo,gtw,-1,-1,-1,True,False,False,False
guzzisti,devshort,-1,-1,-1,True,False,False,False
guzzisti,ulogger-server,-1,-1,-1,True,False,False,False
guzzy-dev,spotify-like,-1,-1,-1,True,False,False,False
gv8b00ff,capstone-2021-26,-1,-1,-1,True,False,False,False
gvacchiano,theforestscientist,-1,-1,-1,True,False,False,False
gvaiguntalakshmi,tickets-booking-website,-1,-1,-1,True,False,False,False
gvamsii,ecart,-1,-1,-1,True,False,False,False
gvandelinde,demo-repo,-1,-1,-1,True,False,False,False
gvanuxem,fricas-vscode,-1,-1,-1,True,False,False,False
gvardianez,java_1_project_kolesnik,-1,-1,-1,True,False,False,False
gvariola,containerized-python,-1,-1,-1,True,False,False,False
gvarmaslu,metagenomics_analysis,-1,-1,-1,True,False,False,False
gvarunkumar1,cse-326-assignment-1,-1,-1,-1,True,False,False,False
gvatest,bnbking,-1,-1,-1,True,False,False,False
gvbriel,weather-app,-1,-1,-1,True,False,False,False
gvel-admin,guess-my-number,-1,-1,-1,True,False,False,False
gvel-admin,monsters-rolodex,-1,-1,-1,True,False,False,False
gvelasco01,pry-pf-ecosistemas,-1,-1,-1,True,False,False,False
gvelywc,monster-rolodex,-1,-1,-1,True,False,False,False
gverbist,dotfiles,-1,-1,-1,True,False,False,False
gveres74,arvenargl,-1,-1,-1,True,False,False,False
gvestmann,beginner-html-site-styled,-1,-1,-1,True,False,False,False
gvgiessen,winuiweather,-1,-1,-1,True,False,False,False
gvhconnect,agendt-famtrkr,-1,-1,-1,True,False,False,False
gvhconnect,hugo-theme-sam,-1,-1,-1,True,False,False,False
gvheertum,svg,-1,-1,-1,True,False,False,False
gvieirao,readthedocs,-1,-1,-1,True,False,False,False
gvikrant92,sonarcloud,-1,-1,-1,True,False,False,False
gvillf00,proyectoiso2,-1,-1,-1,True,False,False,False
gvincze81,getting-started,-1,-1,-1,True,False,False,False
gvincze81,webserver,-1,-1,-1,True,False,False,False
gvinothan,containers-and-orchestrations,-1,-1,-1,True,False,False,False
gvister,gvister,-1,-1,-1,True,False,False,False
gvitalie,scoala,-1,-1,-1,True,False,False,False
gvkuser,development,-1,-1,-1,True,False,False,False
gvlisidis,real-world-app,-1,-1,-1,True,False,False,False
gvlmihre,cyberneticslab,-1,-1,-1,True,False,False,False
gvlmihre,mage-2022,-1,-1,-1,True,False,False,False
gvmolin,molinfy,-1,-1,-1,True,False,False,False
gvn908,dynamicchain,-1,-1,-1,True,False,False,False
gvnmlln,cobra-cli-project,-1,-1,-1,True,False,False,False
gvnn7,gameplay,-1,-1,-1,True,False,False,False
gvondra,markasite,-1,-1,-1,True,False,False,False
gvonf,gittestremote,-1,-1,-1,True,False,False,False
gvorax,robots,-1,-1,-1,True,False,False,False
gvpproj,poemwebsite,-1,-1,-1,True,False,False,False
gvr1123,gvrapps,-1,-1,-1,True,False,False,False
gvraams,helping_hearts_api,-1,-1,-1,True,False,False,False
gvremington,it212roberts_angulartodo,-1,-1,-1,True,False,False,False
gvrepos,device_xiaomi_vayu,-1,-1,-1,True,False,False,False
gvrepos,vendor_xiaomi_vayu,-1,-1,-1,True,False,False,False
gvs006,petcleanapi,-1,-1,-1,True,False,False,False
gvso,pro,-1,-1,-1,True,False,False,False
gvsram,gitintrduction,-1,-1,-1,True,False,False,False
gvsram,gitintrduction1,-1,-1,-1,True,False,False,False
gvsram,gitpavandemo2,-1,-1,-1,True,False,False,False
gvsram,gitpractice,-1,-1,-1,True,False,False,False
gvssaisumanth,get881,-1,-1,-1,True,False,False,False
gvssx,progettosofteng,-1,-1,-1,True,False,False,False
gvstr,vercel-test,-1,-1,-1,True,False,False,False
gvsucis357,hw3-srockow2000,-1,-1,-1,True,False,False,False
gvvigneshgv,gvvigneshgv.github.io,-1,-1,-1,True,False,False,False
gvvipul,shopbridge,-1,-1,-1,True,False,False,False
gvwilson,carpentrycon2017,-1,-1,-1,True,False,False,False
gvwilson,datacarpentry.github.io,-1,-1,-1,True,False,False,False
gvwilson,feeling-responsive,-1,-1,-1,True,False,False,False
gvwilson,good-enough-practices-in-scientific-computing,-1,-1,-1,True,False,False,False
gvwilson,lesson-example,-1,-1,-1,True,False,False,False
gvwilson,library-data-intro,-1,-1,-1,True,False,False,False
gvwilson,library-git,-1,-1,-1,True,False,False,False
gvwilson,library-openrefine,-1,-1,-1,True,False,False,False
gvwilson,library-shell,-1,-1,-1,True,False,False,False
gvwilson,library-sql,-1,-1,-1,True,False,False,False
gvwilson,make-novice,-1,-1,-1,True,False,False,False
gvwilson,merely-useful.github.io,-1,-1,-1,True,False,False,False
gvwilson,modern-scientific-authoring,-1,-1,-1,True,False,False,False
gvwilson,python-novice-gapminder,-1,-1,-1,True,False,False,False
gvwilson,python-novice-inflammation,-1,-1,-1,True,False,False,False
