owner,repo,stars,forks,watchers,deleted,private,archived,disabled
youtubehdr,hdr_metadata,132,33,34,False,False,False,False
ysc3839,clashxw,132,24,4,False,False,False,False
yu-tou,arduino-aliyun-iot-sdk,132,54,6,False,False,False,False
yuanhaigreg,fuzz-dict,132,19,3,False,False,False,False
yubico,php-yubico,132,42,60,False,False,True,False
yuche,wechat-banks,132,29,8,False,False,False,False
yueyoum,seven-cow,132,19,11,False,False,False,False
yugasun,awesome-serverless-framework,132,12,4,False,False,False,False
yujinpan,el-table-infinite-scroll,132,38,4,False,False,False,False
yukaii,vscode-ptt,132,4,6,False,False,False,False
yura505,robinbot,132,34,17,False,False,False,False
yurydelendik,wasmception,132,20,15,False,False,True,False
yutingzhang,lmdis-rep,132,19,10,False,False,False,False
yutkin,lenta.ru-news-dataset,132,20,8,False,False,False,False
yuzukihd,yuzukichameleon,132,36,11,False,False,False,False
yvt,constance,132,6,7,False,False,False,False
yvt,r3,132,6,7,False,False,False,False
z0al,dependent-issues,132,8,2,False,False,False,False
zacharyzcr,awd,132,29,5,False,False,False,False
zacharyzcr,awd-,132,29,5,False,False,False,False
zaid-ajaj,npgsql.fsharp.analyzer,132,8,7,False,False,False,False
zanduino,ina,132,33,14,False,False,False,False
zarknight,wx-falls-layout,132,63,10,False,False,False,False
zcxu1,hust-cse-experiments,132,35,2,False,False,False,False
zdz72113,netcore_basicknowledge.examples,132,73,13,False,False,False,False
zebulon2,rtl8814au,132,33,26,False,False,False,False
zeit,install-node,132,22,5,False,False,False,False
zeit,install-node.now.sh,132,22,5,False,False,False,False
zencashofficial,zen_archived,132,47,56,False,False,True,False
zengqunzhao,efficientface,132,29,1,False,False,False,False
zenus,thinkstorm,132,28,15,False,False,False,False
zerodha,gokiteconnect,132,56,17,False,False,False,False
zerodhatech,gokiteconnect,132,56,17,False,False,False,False
zhengyuf,pointavatar,132,13,8,False,False,False,False
zhong-lab-ucsd,genomic-interactive-visualization-engine,132,33,10,False,False,False,False
zhongcaiwei,data-visualization-technology-sharing,132,40,10,False,False,False,False
zhouxu88,mvvmdemo,132,66,3,False,False,False,False
zhuiyitechnology,roformer-v2,132,15,8,False,False,False,False
zhushunqing,faustcplus,132,97,25,False,False,False,False
zhuweiyou,weixin-headimg,132,19,3,False,False,True,False
zhwei820,learn.lianglianglee.com,132,158,7,False,False,False,False
zirkfied,zfdropdown,132,29,7,False,False,False,False
zjns,qmhelper,132,3,1,False,False,False,False
zmh-program,web-chatgpt-qq-bot,132,5,4,False,False,False,False
znck,nuxt-module-blog,132,14,7,False,False,True,False
zoranpandovski,awesome-testing-tools,132,52,7,False,False,False,False
zpao,v8monkey,132,22,9,False,False,False,False
zpnk,stage-ci,132,12,4,False,False,False,False
zsylvester,meanderpy,132,31,15,False,False,False,False
zxrzju,superline3d,132,4,2,False,False,False,False
zzzzbw,gitpic,132,23,5,False,False,False,False
01org,numatop,131,40,15,False,False,False,False
07akioni,vtools,131,25,2,False,False,False,False
07akioni,vueuc,131,25,2,False,False,False,False
0mniscient,discord-themes,131,465,25,False,False,True,False
0plus1,lumendingojwtapi,131,22,9,False,False,False,False
13-05,disc-python-hacks,131,16,5,False,False,False,False
13-05,hidden-disc-docs,131,16,5,False,False,False,False
1417766861,rent_mina,131,43,4,False,False,False,False
1417766861,rent_mini,131,43,4,False,False,False,False
15921483570,wechat_spider,131,220,7,False,False,False,False
2072,php-indenting-for-vim,131,28,5,False,False,False,False
281677160,openwrt-package,131,98,9,False,False,False,False
2amigos,yiiwheels,131,76,32,False,False,False,False
3075426724,lingnancard,131,17,32,False,False,False,False
33kk,uso-archive,131,10,6,False,False,False,False
3lang3,wechat-redirect,131,29,0,False,False,False,False
3lang3,wxopen,131,29,0,False,False,False,False
3xploit666,packtermux,131,92,36,False,False,False,False
